0,1,2,3,4,5,6
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
0.25,0.25,0.5,0.0,0.0,0.0,0.0
